,Rank,Team/NOC,Gold,Silver,Bronze,Total,Rank by Total,pop2021
0,1,United States,39,41,33,113,1,332915073
1,2,China,38,32,18,88,2,1444216107
2,3,Japan,27,14,17,58,5,126050804
3,4,Great Britain,22,21,22,65,4,68207116
4,5,Russia,20,28,23,71,3,145912025
5,6,Australia,17,7,22,46,6,25788215
6,7,Netherlands,10,12,14,36,9,17173099
7,8,France,10,12,11,33,10,65426179
8,9,Germany,10,11,16,37,8,83900473
9,10,Italy,10,10,20,40,7,60367477
10,11,Canada,7,6,11,24,11,38067903
11,12,Brazil,7,6,8,21,12,213993437
12,13,New Zealand,7,6,7,20,13,4860643
13,14,Cuba,7,3,5,15,18,11317505
14,15,Hungary,6,7,7,20,13,9634164
15,16,South Korea,6,4,10,20,13,51305186
16,17,Poland,4,5,5,14,19,37797005
17,18,Czech Republic,4,4,3,11,23,10724555
18,19,Kenya,4,4,2,10,25,54985698
19,20,Norway,4,2,2,8,29,5465630
20,21,Jamaica,4,1,4,9,26,2973463
21,22,Spain,3,8,6,17,17,46745216
22,23,Sweden,3,6,0,9,26,10160169
23,24,Switzerland,3,4,6,13,20,8715494
24,25,Denmark,3,4,4,11,23,5813298
25,26,Croatia,3,3,2,8,29,4081651
27,28,Serbia,3,1,5,9,26,8697550
28,29,Belgium,3,1,3,7,33,11632326
29,30,Bulgaria,3,1,2,6,39,6896663
30,31,Slovenia,3,1,1,5,42,2078724
31,32,Uzbekistan,3,0,2,5,42,33935763
32,33,Georgia,2,5,1,8,29,3979765
34,35,Turkey,2,2,9,13,20,85042738
35,36,Greece,2,1,1,4,47,10370744
36,36,Uganda,2,1,1,4,47,47123531
37,38,Ecuador,2,1,0,3,60,17888475
38,39,Ireland,2,0,2,4,47,4982907
39,39,Israel,2,0,2,4,47,8789774
40,41,Qatar,2,0,1,3,60,2930528
41,42,Bahamas,2,0,0,2,66,396913
43,44,Ukraine,1,6,12,19,16,43466819
44,45,Belarus,1,3,3,7,33,9442862
45,46,Romania,1,3,0,4,47,19127774
46,46,Venezuela,1,3,0,4,47,28704954
47,48,India,1,2,4,7,33,1393409038
49,50,Philippines,1,2,1,4,47,111046913
50,50,Slovakia,1,2,1,4,47,5460721
51,52,South Africa,1,2,0,3,60,60041994
52,53,Austria,1,1,5,7,33,9043070
53,54,Egypt,1,1,4,6,39,104258327
54,55,Indonesia,1,1,3,5,42,276361783
55,56,Ethiopia,1,1,2,4,47,117876227
56,56,Portugal,1,1,2,4,47,10167925
57,58,Tunisia,1,1,0,2,66,11935766
58,59,Estonia,1,0,1,2,66,1325185
59,59,Fiji,1,0,1,2,66,902906
60,59,Latvia,1,0,1,2,66,1866942
61,59,Thailand,1,0,1,2,66,69950850
62,63,Bermuda,1,0,0,1,77,62090
63,63,Morocco,1,0,0,1,77,37344795
64,63,Puerto Rico,1,0,0,1,77,2828255
65,66,Colombia,0,4,1,5,42,51265844
66,67,Azerbaijan,0,3,4,7,33,10223342
67,68,Dominican Republic,0,3,2,5,42,10953703
68,69,Armenia,0,2,2,4,47,2968127
69,70,Kyrgyzstan,0,2,1,3,60,6628356
70,71,Mongolia,0,1,3,4,47,3329289
71,72,Argentina,0,1,2,3,60,45605826
72,72,San Marino,0,1,2,3,60,34017
73,74,Jordan,0,1,1,2,66,10269021
74,74,Malaysia,0,1,1,2,66,32776194
75,74,Nigeria,0,1,1,2,66,211400708
76,77,Bahrain,0,1,0,1,77,1748296
77,77,Saudi Arabia,0,1,0,1,77,35340683
78,77,Lithuania,0,1,0,1,77,2689862
79,77,North Macedonia,0,1,0,1,77,2082658
80,77,Namibia,0,1,0,1,77,2587344
81,77,Turkmenistan,0,1,0,1,77,6117924
82,83,Kazakhstan,0,0,8,8,29,18994962
83,84,Mexico,0,0,4,4,47,130262216
84,85,Finland,0,0,2,2,66,5548360
85,86,Botswana,0,0,1,1,77,2397241
86,86,Burkina Faso,0,0,1,1,77,21497096
88,86,Ghana,0,0,1,1,77,31732129
89,86,Grenada,0,0,1,1,77,113021
90,86,Kuwait,0,0,1,1,77,4328550
